term,definition
sinus,"öböl, üreg"
Sinus aperta,Üregmegnyitás
sinus coronarius,koronária sinus
sinus frontalis,homloküreg
sinus maxillaris,arcüreg
sinus paranasales,orrmelléküregek
sinus renalis,veseöböl
sinus sphenoidalis,ékcsonti üreg
sinus sphenoidalis,iköböl
Sinus us,"Öböl, üreg"
sinus valsalvae,valsalva üreg
sinus venosus,vénás öböl
sinusitis,arcüreggyulladás
sinusitis acuta,Heveny melléküreggyulladás
sinusitis chronica,krónikus homloküreggyulladás
sinusitis maxillaris,arcüreggyulladás
sinusitis maxillaris acuta,akút arcüreggyulladás
sinusitis sphenoidalis,ékcsontüreggyulladás
sis,állapot
sitis,szomjúság
skeleton,csontváz
sludge cholecystae,epehólyag iszap
solidum,tömör szerkezet
solutio,"megoldás, oldat"
soma,test
Somat-,Test
somatogenes,test eredetű
somnabulismus,alvajárás
somnolentia,aluszékonyság
soor,szájpenész
sopor,"mély alvás, öntudatlanság"
Spasm-,Görcs
spasmodicus,görcsös
spasmus,görcs
spastosus,görcsös
Spatium (diasthema),Hézag a fogak között
speculum,vizsgálótükör
Sperma,"Mag, ondó (görög)"
spermatogonium,ősondósejt
spermatozoa,spermasejtek
spermium,hímivarsejt
sphenoidalis,ék alakú
Sphenoidalis,"Ék-, ék alakú"
sphera,gömb
spheroideus,gömbszerű
sphincter,záróizom
sphygmomanometer,vérnyomésmérő
spina,"gerinc, tövis"
spina bifida,gerinchasadék
Spina bifida aperta,gerincvelősérv
spina bifida occulta,Rejtett gerinchasadék (spina bifida occulta)
spina iliaca,csípőtövis
spina iliaca anterior inferior,elülső alsó csípőtövis
spina iliaca posterior superior,hátulsó felső csípőtövis
spina scapulae,lapockatövis
spinális,gerincoszlopi
spinchterotomia,záróizom műtéti metszése
spini scapulae,lapockatövis
spinosus,gerinccel kapcsolatos
Spirat-,Légzés
spissus,sűrű
Splanch-,Zsiger
splanchnicus,zsigerekhez tartozó
splanchnocranium,arckoponya
splanchnologia,zsigertan
splanchnomegalia,zsigermegnagyobbodás
splanchnopathia,zsigerbántalom
splanchnoptosis,zsigersüllyedés
splen,lép
splenectomia,lép kimetszése
splenitis,lépgyulladás
Splenius,Szíj-
splenomegalia,lépmegnagyobbodás
spondylarthritis ankylopoetica,Bechterew-kór
spondylarthrosis,csigolyaizületi bántalom
spondylarthrosis lumbalis,ágyéki csigolyaizületi bántalom
spondylitis ankylosans,Bechterew-kór
spondylolisthesis,csigolyacsuszamlás
spondylolysis,csigolyaívek sérülése
spondylosis,csigolyaívek sérülése
spondylus,csigolya
spongia,szivacs
spongia pressa,sajtolt szivacs
spongiformis,szivacsos
Spongiosus,Szivacsos
spurius,FALSE
sputum,köpet
Squama,Pikkely
squama frontalis,pikkelyrész
squama occipitalis,pikkelyrész
squamosus,pikkelyes
St. post. Inf. virosa Subfebrilitas Spec.,Lázat nem elérő vírusos fertőzés utánni állapot
stasis,állás
status asthmaticus,status asthmaticus
status morbidus,betegségi állapot
status post fracturam pelvis,a medence törés utáni állapot
status post sanationem,gyógyulás utáni állapot
steato-,zsír-
steatorrhoea,zsírszéklet
steatosis,zsírfelgyülemlés
steatosis hepatis,máj elzsírosodás
stenocardia,szívszorulás
stenosans,szűkülő
stenosis,szűkület
stenosis arteriae renalis,veseartéria-szűkület
stenosis valvae cordis,szívbillentyűszűkület
"stenosis valvae-, valvulae tricuspidalis",trikuszpidális billentyű szűkülete
stenosis valvulae mitralis,Mitrális stenosis
stenotisans,szűkülő
sterco-,bélsár-
stereoaphonia,térhallás
sterilis,meddő
sterilisatio,terméketlenítés
sternalis,szegycsonthoz tartozó
sternocleidomastoideus,Fejbiccentő
sternum,szegycsont
sternutatio,horkolás
stethos,mellkas
stigma,jel
stimulans,élénkítőszer
stimulus,"inger, serkentés, stimulálás"
stoma,"csont, nyílás"
Stoma(t)-,Száj
stomatitis,szájgyulladás
stomatologia,fogászat
stomatologia,fogorvoslástan
stomia,nyílás
strabizmus,kancsalság
strangulatio,elszorítódás
stratum,réteg
stratum corneum,szaruréteg
stratum ganglionare,kisagykéreg középső rétege
stratum granulosum,Malphigi-réteg
stratum lucidum,fénylő réteg
stratum moleculare,kisagykéreg külső rétege
stratum spinosum,tüskés réteg
strepitus,"zaj, zörej"
stria,csík
stria primitiva,őscsík
striae gravidarum,terhességi csíkok
striatus,csíkos
Strict-,Összenyomás
strictura,szűkület
stridor,sípoló légzés
stroma,szerv kötőszövetes váza
stroma ovarii,petefészek kötőszöveti váza
structura,"szerkezet, szövetszerkezet"
structurae geneticae,genetikai stuktúrák
struma,golyva
studium,tanulmány
styloideus,vesszőszerű
styrax liquidus,storaxbalzsam
subacromiale,acromion alatti
subacutus,félheveny
subarcuatus,"enyheívű, ívalatti"
subcapitalis,fej alatti
subcapitalis,fejecs alatti
subcapsularis,"kapszula alatt, tok alatt"
subchondralis,porc alatti
subclavia,kulcscsont alatti
subconjunctivalis,kötőhártya alatti
subcorticalis,kéreg alatti
subcutan,bőralatti
subcutanus,bőr alatt
subcutis,a bőr legmélyebb rétege
subduralis,agykoponyán belüli
subepiglotticus,gégefedő alatti
subhepaticus,májalatti
subictericus,enyhén besérgult
subileus,részleges bélelzáródás
subitum,gyors
subitus,gyors
sublatio,leválás
subligamentalis,ín alatti
subliminalis,tudati küszöb alatti
submandibularis,állkapocs alatti
submandibularis,szubmandibularis
submucosa,nyálkahártya-alatti kötőszövet
submucosum,nyálkahártya alatti
subnasalis,orr alatti
suborbitalis,szemgödör alatti
subpleuralis,pleura alatti
subscapularis,lapocka alatti
subserosus,savós hártya alatti
subserosus,serosa alatti
subserosus,szubszerózus
subsidium investigationis,kutatás támogatása
subspecies,alfaj
substantia,állomány
substantia adamantina,fogzománc-állomány
substantia alba,fehér állomány
substantia cerebralis grisea,szürke agyállomány
substantia cerebri,agyállomány
substantia compacta,kompakt állomány
substantia corticalis,külső kéregállomány
substantia eburnea,dentin
substantia eburnea,dentinállomány
substantia grisea,szürke állomány
substantia grisea centralis,központi szürkeállomány
substantia medullaris,velőállomány
substantia nigra,fekete állomány
substantia nuclearis,maganyag
substantia ossea,"fogcement, cementállomány"
substantia spongiosa,szivacsos állomány
substernalis,szegycsont alatti
substitutio,pótlás
subtilis,apró
succedaneus,helyettesítő
succus,nedv
succus pancreaticus,hasnyál
suctio,szívás
sudamina,hőpörsenés
sudatio,"izzadság, verejték"
sudor,izzadság
suffocatio,fulladás
suffusio,"bevérzés, véraláfutás, vérdaganat, vérömleny, zúzódás"
suicidium,öngyilkosság
sulcus,barázda
sulcus anterolateralis,oldalsó-elülső barázda az agy alapi felszínén
sulcus centralis,központi barázda
sulcus cerebralis,agybarázda
sulcus cerebri,agybarázda
sulcus coronarius,koszorúbarázda
sulcus costae,bordai barázda
sulcus hemisphericus,féltekebarázda
sulcus nasolabialis,orr-ajak barázda
sulcus nasolacrimalis,orrkönnybarázda
sulfur crudum,nyers kén
SUP,kúp
supercilium,szemöldök
Superficialis,"Felszíni, felületi"
Superficies,Felszín
superficium cutis,bőrfelszín
superior,felső
supinatio,kifelé fordítás
supinator,hanyintó
suppositorium,kúp
suppressio,elnyomás
suppuráló,gennyet termelő
suppuratio,gennyedés
suppurativus,gennyes
supra,"döntő, legfelső"
supraepiglottis,gégefedő feletti
supramalleolaris,malleolus feletti
supraorbitalis,szemüreg-feletti
suprarenalis,mellékvesével kapcsolatos
supraspinatus,tövis feletti
suprasternalis,szegycsont feletti
supremus,"döntő, legfelső"
supremus,legfelső
sura,"lábikra, vádli"
surdomutitas,süketnémaság
surdus,siket
susceptibilitas,fogékonyság
susp. grav.extraut.,gyanított méhen kívüli terhesség
suspectus,feltételezett
suspensio,felfüggesztés
sutura,varrat
sutura lambdoidea,lambda-varrat
sutura plana,sima varrat
sutura sagittalis,nyílvarrat
sutura serrata,fogazott varrat
sutura squamosa,pikkelyvarrat
suturae craniales,koponyavarratok
suturatio,varrás
symbiosis,életközösség
symbioticus,együtt élő
symmetria,részarányosság
sympaticus,sympaticus idegrendszer része
sympaticus,együttérző
symphysis,"összeköttetés, összenövés"
symphysis pubis,szeméremízület
symptoma,kórtünet
synapsis,idegátcsatolódás
synarthrosis,folytonos összeköttetés
synchondrosis,összeporcosodás
syncope,ájulás (átmeneti eszméletvesztés)
syncronos,egyidejű
syncytium,több sejt egybeolvadása
syndactylia,ujjösszenövés
syndesmologia,ízülettan
syndesmosis,szalagos összeköttetés
syndroma,tünetcsoport
syndroma canalis carpi,alagút szindróma
synechia,beteges összenövés
synergia,együttműködés
Synergista,együttműködő
synostosis,csontösszenövés
synovia,ízületi folyadék
synovitis,izületi nyálkahártya gyulladás
synovium,ízületi hártya
syphiliticus,szifiliszes
syphiliticus,vérbajos
syringomyelia,folyadékkal töltött üreg a gerincvelőben
syrinx,"cső, üreg"
systema,rendszer
systema cardiovasculare,szív és érrendszer
systema conducente cordis,szív impulzusokat vezető rendszere
systema digestorium,emésztőrendszer
systema endocrinum,belsőelválasztású rendszer
systema haematopoeticum,vérképző rendszer
systema immunum,immunrendszer
systema lymphaticum,nyirokrendszer
systema musculoskeletale,izom és vázrendszer
systema nervorum centrale,központi idegrendszer
systema nervorum perifericum,perifériális idegrendszer
systema nervosum,idegrendszer
systema nervosum autonomica,vegetatív idegrendszer
systema nervosum centrale,központi idegrendszer
systema nervosum cerebrospinale,szomatikus idegrendszer
systema nervosum periphericum,perifériális idegrendszer
systema nervosum periphericum,környéki idegrendszer
systema nervosum sympathicum,szimpatikus idegrendszer
systema nervosum vegetativum,vegetatív idegrendszer
systema nervosusm parasympathicum,paraszimpatikus idegrendszer
systema organorum viscerale,zsigerrendszer
systema respiratorium,légzőrendszer
systema urogenitale,húgy és nemi rendszer
systema vasorum,érrendszer
systole,összehúzódás
systremma,lábikragörcs
szeptumdefektus,a szív üregeit elválasztó fal(ak) folytonossághiánya
szívinfarktus,a szívizom vérellátási zavara következtében létrjövő szívizomelhalás
szívkatéterezés,vizsgálóeljárás melynek során nagyon vékony csövet vezetnek az ereken keresztül a szívbe
szuicid,öngyilkos
t.d.s.,háromszor naponta
t.i.d.,háromszor naponta
tabletta abortiva,eseményutáni-tabletta
tabletta acidi salicylici,szalicilsav-tabletta
tabuletta,tabletta
tachy,szapora
tachycardia,szapora szívverés
tachylalia,"gyors beszéd, hadarás"
tachyphagia,gyors evés
tachypnoe,szapora légzés
Tact-,Érintés
tactilis,tapintási
tactus,érintés
taenia,"bélgiliszta, ínszalag,"
talipes,veleszületett lábdeformitás
talis,olyan
talocruralis,talokrurális
talofibularis,talofibuláris
talotibialis,talotibiális
talus,boka
tangentialis,érintő irányú
tantalium,tantál
tantum,annyi
tardus,késő
tarsal,lábtő-
tarso-,lábtő-
tarsometatarseus,tarzometatarzális
tarsus,lábtő
taxidermia,állatpreparáció
TBL,tabletta
tectorius,befedés
tectum,fedél
tectum calvae,fejbőr hajas része
tegmen,takaró
tegmen tympani,a dobüreg csontos teteje
tegmentum,borító
tela,szövet
tela adiposa,zsírszövet
tela conjunctiva,kötőszövet
tela dentis,fogszövet
tela elastica,rugalmas szövet
tela granulationis,sarjszövet
tela lymphoidea,nyirokszövet
tela nervosa,idegszövet
tela subcutanea,bőralatti szövet
telae,szövetek
teleagiectasia,hajszálértágulat
teleangiectasis,hajszálértágulat
telencephalon,végagy
telencephalon medium,középső előagy
telepathia,gondolatolvasás
tellurium,tellúr
telodendron,idegnyúlvány végfácskája
temperamentum,vérmérséklet
temperatura cutis,bőrhőmérséklet
tempora,halánték
temporalis,halántékcsonti
tempore,idejében (vminek)
temporomandibularis,halántékcsonti-állkapcsi
temporooccipitalis,halántékcsonti-nyakszirtcsonti
Tempos,Halánték
tempus,idő
tendentia oedematica,ödéma-tendencia
tendines,inak
tendineus,inas
tendinitis,íngyulladás
tendinopathia,ínbetegség
tendo,ín
tendo Achillis,Achilles ín
tendo calcaneus,lábszárhajlító ín
tendovaginitis,inhüvely gyulladás
tenebrositas,homályállapot
tenia,kötelék
tenia coli,vastagbelet összhúzó köteg
ténius,karcsú
tenostosis,ín elcsontosodás
tenotomia,ín műtéti metszése
tensor,feszítő
tentorium,sátor
tenuis,"finom, vékony"
tenuissime,nagyon gyengéden
ter in die,háromszor naponta
teratogen,fejlődési rendellenességet kiváltó
terebinthina,terpentin
teres,"henger alakú, kerek"
tergum,"hát, vissza"
terminalia nervorum,idegvégződések
terminalis,véghez tartozó
terminalis filamentum,végfonál
terminus,"határidő, fogalom"
terror bacilli,bacillustól való félelem
testectomia,herekimetszés
testicularis,herével kapcsolatos
testinalis,heréhez tartozó
testis,here
tetraparesis,négy végtag enyhe bénulása vagy gyengesége
textura,szövet
textus,szövet
thalamus,a köztiagy része
thalassaemia,örökletes vérképzőrendszeri betegség
thalassophobia,tengeriszony
thanatophobia,szorongó fájdalom
theca,tok
thecoma,jóindulatú kemény daganat a petefészekben
theleplastica,emlőbimbó plasztikai műtéte
thelitis,emlőbimbó-gyulladás
thenar,"talp, tenyér"
theoria,elmélet
Therap-,Kezelés
therapeutica,gyógyszerek
therapia,gyógykezelés
therapia electroconvulsiva,elektorkonvulzív terápia
therapia steroidi,szteroid-terápia
thermoreceptori,hőérzékelők
Thorac-,Mellkas
thoracalis,mellkasi
thoracoacromialis,mellkasi-vállcsúcsi
thoracocentesis,mellkascsapolás
thoracotómia,mellkas megnyitásával járó sebészi beavatkozás
thorax,mellkas
Thorax acis,mellkas
thorium,tórium
three times,háromszoros
Thromb-,Rög
thrombangitis obliterans,Buerger kór
thrombectomia,vérrögkimetszés
thromboangiitis obliterans,Buerger kór
thrombocyta,vérlemezke
thrombocyti,vérlemezkék
thrombocytopenia,thrombocitopénia
thrombophlebitis,tromboflebitisz
thrombosis,vérrögösödés
thrombosis arteriae renalis,veseartéria trombózis
thrombus,vérrög
thymoma,csecsemőmirigy-daganat
thymus,csecsemőmirigy
thymus persistens,fennmaradó csecsemőmirigy
thyreo-,pajzsmirigy-
thyreocervicalis,pajzsmiriggyel és nyakkal kapcsolatos
thyreoideus,pajzsmiriggyel kapcsolatos
thyrocalcitoninum,kalcitonin
thyroiditis,pajzsmirigygyulladás
tibia,sípcsont
tibialis,sípcsonthoz tartozó
tid,háromszor naponta
tinea,gombás bőrkiütés
tinea capitis,mycosis capitis
tinea pedis,lábgomba
tinea unguium,körömgombásodást
tinea versicolor,pityriasis versicolor
tinnitus,fülcsengés
titubatio,bukdácsolás
tomia,Műtéti metszés
tonometer,nyomésmérő
tonsilla,mandula
tonsilla adenoidea,garat mandula
tonsilla cerebelli,kisagyi tonsilla
tonsilla lingualis,nyelv mandula
tonsilla palatina,szájpadi mandula
tonsilla pharyngea,garatmandula
tonsilla tubaria,fülkürtmandula
tonsillectomia,mandula műtéti eltávolítása
tonsillitis,garatmandulagyulladás
tonsillolith,mandulakő
tonus,"hangzás, feszülés, nyugalmi izom feszülési állapota"
tophus,"csomó, göb"
torsio,csavarás
torsio testis,herecsavarodás
torticollis,"ferde nyak, nyakmerevedés"
tortilis,csavart
torus,csomó
totalis,teljes
toxicitas,méreghatás
"toxicitas, venenositas",ártalmasság
toxicogen,méregképző
toxicoid,méregszerű
toxicosis,mérgezés
toxin,méreg
toxoplasmosis,toxoplazmózis
Trache-,Légcső
trachea,légcső
trachealis,légcsővel kapcsolatos
tracheopathia,légcsőbántalom
tracheorrhaphia,tracheorrhaphy
tracheotomia,légcsőmetszés
trachoma,Trachoma
tractio,húzás
tractus,földsáv
tractus autonomici,autonóm pályák
tractus biliaris,epevezeték rendszer
tractus corticospinalis crutiatus,keresztezett piramispálya
tractus corticospinalis directus,keresztezetlen piramispálya
tractus efferentes,efferens pályák
tractus gastrointestinalis,gyomor-bél csatorna
tractus nervosi,idegpályák
tractus olfactorii,szaglópályák
tractus opticus,látóköteg
tractus rubrospinalis,Monakow-pálya
tractus spinocerebellaris dorsalis,Flechsig-pálya
tractus spinocerebellaris ventralis,Gowers-pálya
tractus spinothalamici,gerincvelő-látótelepi pálya
tractus spinothalamicus,Edinger-pálya
tractus urinarius,húgyutak
tragos,fülcsap
transanalis,az anuson keresztül
transbronchialis,hörgőn keresztüli
transcisio,átvágás
transcriptio,átírás
transcutan,bőrön át
transfixio,átszúrás
transformare,transzformál
transfusio,vérátömlesztés
transfusio exsanguino,vércsere
translatio,fordítás
transmuralis,transmurális
transparens,áttetsző
transpiratio,verítékezés
transplantatio,szervátültetés
transplantatum cutis,átültetett bőr
transudatum,vizenyő
transurethralis,húgycsövön keresztül
transvaginalis,hüvelyen át
Transversalis,Harántirányú (egyik oldalról a másik oldal felé mutató irány)
transversum,keresztbenálló
transversus,harántirányú
transzplantáció,szervátültetés
trapezius,trapéz formájú
trauma,sérülés
Traumat-,Sérülés
traumatica,balesetes
traumaticinum,traumaticin
traumaticus,balesetes
trema,hangulatváltozás
tremens,reszkető
trementia,remegősség
"tremibundus, tremulus, vibratus","remegő, reszkető"
